Anime_Score,Anime_Rank,Anime_Popularity,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Genres,Stream_type,Cluster
8.64,67.0,26,2385470,9.22,4.0,3.0,603122.0,"Action,Adventure,Fantasy",TV ,1
8.67,58.0,51,1801213,8.63,77.0,647.0,26762.0,"Drama,Fantasy,Slice of Life",TV ,3
8.67,56.0,201,837459,8.72,47.0,179.0,81657.0,"Adventure,Fantasy,Mystery,Slice of Life,Supernatural",TV ,3
8.68,53.0,94,1396229,8.77,37.0,62.0,156837.0,"Adventure,Drama,Fantasy,Mystery,Sci-Fi",TV ,3
8.65,66.0,460,654412,7.94,879.0,2259.0,8621.0,"Adventure,Fantasy",TV ,3
8.67,57.0,21,2231890,8.59,94.0,189.0,78710.0,"Drama,Romance",TV ,3
8.78,35.0,273,674564,8.9,18.0,781.0,22415.0,"Comedy,Mystery,Romance,Supernatural",TV ,3
8.87,24.0,11,2768297,8.39,219.0,161.0,86632.0,"Drama,Supernatural",Movie ,3
8.76,37.0,42,1883277,7.15,6493.0,1082.0,16725.0,"Action,Sci-Fi",TV ,2
8.83,27.0,155,1138519,9.15,5.0,29.0,238291.0,"Drama,Mystery,Suspense",TV ,3
9.08,2.0,255,1587143,8.55,110.0,18.0,296164.0,"Action,Comedy",TV ,1
9.08,4.0,13,2584616,8.52,131.0,1540.0,12585.0,"Drama,Sci-Fi,Suspense",TV ,3
